"","x"
"11","Bought this to control an upright freezer's temperature for use as a cheese cave. I had concerns about ""programming"" the unit, because I know sometimes these simple interfaces (using only up/down arrows and menu button to navigate) can be overly complicated and confusing, even to someone who knows some computer programming. It took me much more time to understand the terminology and concepts of the unit than to actually program it once I knew what I wanted. Much of my time was spent just figuring out what the unit defaults were (they were set the way I would want them, ""ok that was easy"") and figuring out what settings I wanted to try-- actual programming took perhaps 30 seconds, and was very easy. After a few hours of monitoring, with multiple alternate thermostats, and a little tweaking of my settings, I was (and still am) confident of my environment's temperature.It's simple. Plug in unit. Plug freezer/fridge into plug in unit. Place probe into freezer/fridge. Program unit. Monitor your results and adjust as necessary. Best of all, it works."
"12","This item will control a full size refrigerator or freezer due to the relay being rated at 12 amps.  The display has no illumination so if you want to use this in a dark place bring a flashlight in order to read the temp on the display. You will have to remove the cover to switch the jumpers from heating to cooling mode. I have one of these running a window air conditioner and have had no issues. The temp sensor is NOT waterproof but I have one running a deep freezer for years with no issue so condensation is not a concern but putting the sensor underwater would cause a problem."
"13","Arrived in good shape. It is really easy to program once you have read the instructions.can be used for the control of of heating or cooling devices.Works as described. Best to get one already having the electrical cords mounted on it. They are much better quality than a cheap extension cord which others say to cut up and use.Instructions can be hard to read for some I am told. Don't panic.Just plug it in and follow along while pushing the programming buttons and practice with it and in a few minutes you will have it figured out.If it had a better design for mounting I would give it five stars.Idea to improved it would be casting high power magnets  into the plastic case and having four through the case holes for screws. The magnets would be nice for sticking it to the side or back of a freezer and still allow you to take it off to read easily.I used wire to hang it on the back of my freezers running the wire through the hinges."
"14","Like several reviewers have stated, the directions are a little foggy to read in the beginning. I bought this so that I would be able to turn a older fridge into a fermentation chamber. I must say that after reading SEVERAL forums and SEVERAL YouTube videos, I was confident enough to give it a shot in my cold garage. I hooked this up to a small space heater inside of my fridge and set it at around 50 degrees with the probe attached to the side of a small container of water. After 24 hours, I checked the temp of the water with another digital thermometer, and I achieved the exact temp that I had set this for. My opinion is that if you attach this to the volume of water(beer) that you have fermenting in your application, you will achieve more accurate temps than just measuring the ambient air of your fermentation chamber. I would not hesitate buying this again!"
"15","I used this gadget to retrofit a small fridge I own that could not seem to be set properly.  Either the fridge would be too cold and freeze things, or it would not be cold enough.  I drilled a 1/4 inch hole in the side wall of the fridge to pass the thermostat sensor inside my fridge.  I set the fridge on the coldest setting, and plugged the power cord into the Johnson Controls unit.  I set the temperature to the desired set-point, and voila, my beer is perfectly cold without being frozen EVER.  Some day when the fridge gives up the ghost, I will salvage the controller and use it on the next fridge.  A great unit that I would recommend without reservation.  Built like a tank too."
"16","Does a great job at managing the temperature on my fermentation chamber.  I hooked this up to a small Danby chest freezer, just large enough to fit each of my fermentation vessels individually.  Setup was fast and fairly straightforward.  A quick look through the manual will acquaint you with the abbreviations in the menu and what you need to adjust to maintain your target temperature within a specified range.  The temperature probe cable is quite long, and there's even mounting instructions if you would like to make it a permanent fixture on whatever you're using it on.  No complaints"
"17","I was looking for something to moderate the temp of my beer fridge, since the little spinning dial / sliding mechanism didn't cut it.  The first thing I saw was temp controls, but they required electrical work and splicing wires.  Pass.Then I saw this, and it works perfectly.  You just plug it into your electrical outlet and then plug the fridge into this, and it turns it off and on based on the probe temp.If I had to complain about something I would say that the probe wire is a bit thick.  I didn't want to drill into my fridge, so this just hangs in the door and the thickness does break the seal on the door slightly.  Also, the probe is not rated to be waterproof, which is problematic when I am trying to maintain the temp of a liquid (beer) not the air temp.  I stick mine in a cup of water anyway, and have had no problems though."
"18","I love when products work as advertised - so refreshing.A little background: I've had my under cabinet Kegerator for a couple years now and over the past 6 months, with the cooling dial set to the LOWEST, it was far too cold for beer (and FROZE solid any other liquid kept in the unit). I resorted to turning the dial OFF, then ON every couple days in a lame attempt to regulate the temperature.Heard about these thermostat controls and figured I'd give them a try. The installation was very simple - I drilled into the left side panel of the Kegerator, fed the sensor cable through and sealed both sides with a caulk-sealant. The thermostat set up was simple as well: set the new thermostat control at 38 degrees and the differential at 4 degrees. Within hours, it was toggling the unit off and on as it hovered between 34 and 42 degrees.Perfect solution!The only reason I rated 4 stars was because the supplier sent the wrong (non-digital) unit. They were very responsive and helpful in sending the correct unit with a return label for the wrong unit."
"19","Excellent product and a helpful seller.  They accidentally sent me the wrong controller.  I responded with an email and they offered to cut the price on the one they sent, or to exchange it.  I went for the exchange and it was very quick with an apology.Ad for the controller, I love it.  I use it to run a keezer in my basement.  It has the ability to set a range if temperatures and a minimum time before it kicks back on so that I can extend the life of my compressor.  Fairly easy to figure out too.  I would definitely recommend it."
"20","I used it to control 2 Ferm Wrap heaters and it worked perfectly. I put the sensor in 1 fermentation bucket (drilled a hole through a solid rubber cork and forced it through for a air tight seat, then drilled an appropriate sized hole in the fermentation bucket for the cork to fit air tight), and used a ""3 way"" on the cord to enable the ability to plug in 2 heaters (one on each fermentation bucket). The monitoring of the temp on one bucket was adequate to keep the temp the same on the second bucket. Don't forget to read the directions and make the initial adjustment to the Thermostat to set it up for warming if you are using it for this. It comes set up to regulate cooling, but it is easy to set it up for warming."
"21","I started homebrewing lagers earlier this year. The first batch was a black lager that had a primary fermentation of 2 weeks, and a lagering period of 4 weeks. To keep it in the proper temperature range, I would have to shuffle it back and forth from my fridge in the basement and a slightly warmer corner nearby. It wasn't difficult, but it was a hassle. I had been eyeing this thermostat for a while and finally ordered it. It comes with an instruction booklet that is very thorough, but is confusing at first. After going over it a couple of times, it made more sense and I programmed it for the next batch. It has been working perfectly and now I don't need to do the carboy shuffle at all and if I am gone for the weekend, I don't have to be worried that it may fall out of the proper temp range. One less variable to be worried about."
"22","This thermostat really works well for converting a chest freezer into an outdoor keg box.  Even on the hottest of days this thermostat keeps your beer at exactly the perfect temperature to ward off the summer heat.  If you're considering putting a kegerator outside, go with a freezer and this thermostat, instead.  There are complaints all over the internet from people who have put keg refrigerators outside, only to find that they can't keep up with the summer heat, leaving them with warm beer on a hot day.  Yum!  A freezer will not have that problem and will, in turn, save you money because it doesn't have to run all the time to keep your beer crispy cool and delicious on a hot day.  The initial setup cost is quite a lot less expensive, too."
"23","My old secondary refrigerator has had a broken thermostat for years.  I've been meaning to have someone come out and fix it, but then I stumbled upon this device.  For the cost of what my local service center wanted just to look at the fridge, this external controller has alleviated the problem.  The user interface really couldn't be easier to use.  It took me about 30 seconds to get the whole setup up and running (granted I ran the sensor probe through the door seal rather than drilling through the side of the unit).  Now I have an extra fridge in my basement for storage overflow and to lager my homebrew.  I would highly recommend this to anyone that has thermostat problems, or requires their refrigerator/freezer unit to be at a very specific temperature."
"24","Wow!  This was a great investment.  I bought this (after reading a ton of reviews) to convert a basement freezer into a drink Fridge.  Thank you to everyone for all of the reviews.  This was extremely easy to set up and it's working exactly as I had expected.  Basically I just had to set the temperature for my needs and then plug it in.When the freezer dips below the assigned temp it turns the power back onto the freezer, and when it rises about the assigned temp it kicks the power back on."
"25","I bought this item in October of 2010 and have used it for controlling fermentation temperature on several batches of beer since then to gain better control and more repeatability in the fermentation character of my beers. It is easy to use and I ferment ales and lagers alike using this controller in conjunction with a chest freezer. It still performs well and is a good no-fuss method for controlling ambient temperature during fermentation of my brew. I understand that some people have had issues where the temperature swings more than they would like. That does happen, but it's more a function of the cooling equipment (in my case my chest freezer) than the controller itself. It can be mitigated by leaving the chest freezer open or plugging in a fan as well as the freezer for circulation around the fermenter. Leaving the freezer lid open with no fan and set to 66F, the freezer will drop to 62F and slowly rise to 66F before kicking in again. The beer has so much thermal mass that I doubt it will actually experience the temperature wave, so in this case I would feel comfortable calling this 64F. If that setpoint is lower, say 47F for a lager, that swing is even tighter with the freezer door open, dropping to maybe 45F at its lowest point. I haven't had to worry about what temperature extremes my beer sees during fermentation since I've had this controller and could do lagers in the hottest months of the year. All in all a very good investment for those brewers that want a little more control over their yeast character in their beers and/or are getting into lager brewing. It seems to be about $10 cheaper now than when I bought it."
"26","I use this controller on a Frigidaire chest freezer to use it as a fermentation chamber as well as a kegerator. It works exactly as I hoped it would. I like the number of options it has to easily customize the exact on/off set points for the freezer when changing what I use the freezer for. I wish the sensor cable was a bit longer, but it can be extended with the correct type of wire. Probably not an issue for most applications. For those who don't already know, make sure you get an analog freezer(the one with the dial to change the temperature) rather than a digital freezer(the type with buttons and an electronic display)."
"27","I installed this last night in my 7.1cu Haier chest freezer and it is doing an amazing job so far. Temperature is staying right at the setpoint. This is by far the easiest way to regulate the temperature in your fridge / freezer. Just plug one end into the wall, the other into your freezer, set the temperature (and anti-short cycle and degrees of variance if desired)Pros:Easy setupAccurate temperatureUpdates very quicklyMenu system makes sense and took a total of 5 minutes to set it upCons:A backlight for the temperature read-out would be nice for dark areasNo option for remote temperature display (have not opened it up yet)Easier mounting options would be a plus (but sticky-back velcro worked for me)"
"28","This is a very well made temp controller. I could not find another one under $150 that would give a 1 degree differential. This thing has every function you could hope for, is made to last, and is at a seriously steal of a price. For beer making, refrigeration, environmental control, if it needs precise control of temp to the degree and you have the proper equipement, this puppy will run it like the best dream you ever had. If I could give it 6 stars I would."
"29","Overall, I'm satisfied with this product.  It works well, has excellent fit and finish, and performs as expected.  There's a little bit of a learning curve, so you'll need to read the instructions that come with it.  Also, the temperature sensor doesn't seem to read what thermometers measure, even when positioned directly next to them.I use it for stabilizing the temperature of fermenting homebrew.  Mostly, it's used to turn on the fridge when the temp creeps up, but sometimes I use it to turn ON a carboy heat wrap in winters when the temp is dropping - this feature is nice and you can't do that with the analog version.Maybe it's expensive, but it's quality and feature-rich."
"30","I recently ordered a Johnson A419ABG-3C Temperature control for my new snake encasement, it did not work & it is virtually impossible to contact the supplier HAVC.  I'm so upset it isn't funny. The instructions are useless for trouble shooting. After half a day on the phone attempting to reach Johsnons for help I finally got sent to a man named Mike, it was clear that he was ""put off"" by my phone call. Well, after pulling on the lines that hook up the sensor it started working. It has only been running for a week & now the sensor isn't reading properly. This was purchased for my grand daughters Boa constrictors, so it's not like I'm brewing beer, I'm trying to keep a living breathing thing alive. I had it set on 90 with a differential of 1 degree & this morning it is staying on 84 & is not shutting off my radiant heat panel. This product cost me almost $100.00 & not being able to find any trouble shooting except for the worthless instructions that come with it is unacceptable for me. I had rated this as a 5 star but am finding myself doing an edit on the rating. If this effects a snake that was just getting over respiratory infection due to abuse at someone else's hands I will be one hot old woman."
"31","I bought this for my kegerator to maintain the ideal temperature for my keg. Easy installation and i love the programming options.  I had to look up a do it yourself video on YouTube to better understand the program settings but i had everything installed and programmed in about 15 minutes. Now my beer is kept at the ideal temperatures of 34 to 36 degrees."
"32","Finished my kegerator build this week, and this was a critical component, because my mini-fridge has settings all the way from freezing to freaking frozen. It now maintains a range from 39 to 41 F perfectly, and was easy to program after a few minutes of quality time with a homebrew and the instructions. I may widen the temperature range a bit to put less wear & tear on the compressor, but that's a tweak anyone with a converted fridge has the option to make. The unit is (I think) nice and compact, too, allowing for a few drill holes and zip ties to hide it and its cord behind the kegerator with no trouble. Highly recommended!"
"33","Easy to configure, does what it should, provides or kills power to electronics based on temperature.Only complaint I'd have is the instruction book is important to keep around as the screen uses codes that you're likely to forget with how infrequently you have to fiddle with this.It retains settings through power outtages which is a big plus!"
"34","Workes perfect to maintain the temperature on any freezer/ fridge. Many people use this to convert a chest freezer to a kegerator, so that the beer doesnt freeze. This is truly a plug and play device. Only a few settings. THe instructions are not really the best, but google it and there are plenty of tutorials. I have used it to ferment beer in a chest freezer, and then later use it to keep it around 40 degrees for my kegs. Its perfect. There are cheaper options, but most require you to wire them to a sensor and power source. So, if you dont want to do that and spend a few more bucks, buy this. Its perfect."
"35","I more recently built a solar water heating box for my pond out of irrigation drip line. I'm using this product to turn the water pump off when the water hits a curtain temperature. the great part is the Johnson Controls Digital Thermostat Control Unit will not turn back on until the temperature drops 5 degrees, so that means once the water hits temperature its not constantly turning on then off, on then off..... one more great thing is that it holds the programmed memory when it get unplugged."
"36","Best Thermostat Control Unit I've bought. Easy to use, all I had to do was to set the temperature that I wanted to be at and set the difference temperature setting. That's all I did and the controller does the rest. The controller controls the compressor going on and off. Also, I set the freezer thermostat controller to where the compressor will activate at my set temperature, from there the Johnson control would get the compressor to come on. Tried other controllers, but this is the best one that is easy and reliable."
"37","The unit arrived on the 4th day after I ordered it (ordered on Sunday evening), that seemed pretty fast. I had read some of the reviews on the product and had a good understanding of the set up procedure. I had it connected to my 4.6cf fermentation frig in about 5 min. I have been observing the temperatures for the past 24 hrs using the Johnson control, and a second electronic thermometer, it is right on!!! The Johnson Control will allow me to have total control of the fermentation temperature of my beer and that is one of the most critical parts of home brewing. If you are a home brewer this is a must in the warmer states like Texas!"
"38","I was skeptical buying this because it wasn't cheap but works awesome!!! i bought an inexpensive dual tap kegerator and without this the temperature was impossible to regulate. It would swing almost 10 degrees. This solves the problem. Turn thermostat on maximum cold and adjust this for precise temperature. It is something like 5 degrees off from my  cheap wireless thermometer I bought but I'm certain its the thermometer thats off and not this unit. Buy it!"
"39","Works Perfectly! at first I was a little confused as to how to set it up to work on a Keezer build, but after reading the manual, It was pretty easy. It comes set up for heating applications, so if you plug it in right out of the box, it wont do anything but click on and off rapidly. You just have to unscrew the plastic casing and move a jumper over so it is connecting the correct pins.once that is done, setting it to the correct temp is really easy. If I ever need to build another Keezer, I will no doubt purchase again."
"40","I bought this product for my chest freezer that I was converting into a kegerator / keezer. It controls the temperature of the freezer, allowing me to keep the temperature at a perfect serving temperature. The included instructions are a bit confusing, but there are plenty of posts our on [...] about ideal settings for this device.Installing and connecting the device could have not been easier... it's pretty much plug-and-play until you start messing with the settings. It's compact without being too small.  The cables on the control unit are long enough for multiple mounting locations."
"41","Im using this for a large (7qt) slow cooker based sous-vide. I've only done steaks so far, but they come out perfectly cooked. I cook for an hour or so after stable temp (125) and then sear on 800(ish) degree cast iron."
"42","I was having trouble with beer freezing in my kegerator in the winter months. Not anymore. The directions are a bit obscure -- I had to go online and watch videos to make sure I had it set up properly. There are plenty of videos and discussions online about the proper use, though.  In the end, I did not have to alter the factory jumper settings to get it to work. Have been using it for a month now without trouble. Maintains the temperature within the specified range."
"43","It works reliably and effectively.  The only reason I don't give it the top rating is that it is based on grossly obsolete technology.  I.e., to reset the device from the default cooling control to heating control, one must open the device with a screwdriver, which the instructions don't tell you, and you must move jumpers among circuit board pins.  This is the way circuit boards were controlled 30 and 40 years ago.  Were I not as old as I am, I would not have known what the instructions were talking about, when referencing pins and jumpers.  In fact, I showed the instructions to some young co-workers, and they were mystified by the instructions."
"44","Great controller. Not sure about how the quality compares to others that are cheaper.This is a high end controller. Can’t go wrong with this one but you may be able to save some money and get something cheaper that might work as well.I have purchased three of these and couldn’t be happier."
"45","This does exactly what you want it to do, so 4 stars for that.I'm not willing to give it five stars because it is not very user friendly.  I had to take it apart to adjust two jumpers to use it with a fermentation heater.  While one jumper was for heating vs. cooling, it wasn't obvious from the instructions how the other needed to be set and so I had to consult Google to be sure.  While I had it open, the insides shifted around slightly, which made putting it back together more challenging than it needed to be.As you can see from the pictures, this is a piece of industrial equipment.  It looks like something that you would find in a factory (which probably explains why it is not user friendly).  If you have it in the basement like me then it is no problem, but if it's in your living space, you might need to hide it."
"46","Works great but setup is not entirely intuitive.  I use is to control the temperature in a keezer I built for my brother.  If this is your intended use make sure the thermometer is at the bottom of the keezer.  Otherwise you may freeze the whole keg."
"47","While sold and advertised as a thermostat control for regulating cooling devices for projects like beer brewing and such, the Johnson Controls Digital Thermostat is also capable of a Heat Mode that regulates temps up to 212 Fahrenheit; this is great news for anyone that is interested in setting up their own water oven for sous vide cooking!In order to do so the unit must be set in Heat Mode (it is set to Cooling Mode by default, indicated by a small snowflake icon on the display when the unit is on), to set the thermostat into Heat Mode you are required to open the unit up with a screwdriver and rearrange 2 small pins from partially connected to fully connected. The instruction manual will show you which pins to adjust. Once the pins have been adjusted just close the unit up and plug it into whatever device you will be using as your water bath (in my case a cleaned out deep fryer), and set your desired Set Point (SP). You will notice that there is a little flame icon on the display where there was once a snowflake, this indicates that the unit is now in Heat Mode. From this point, you can start cooking.Now for my plus minus:+ The unit is capable of regulating higher temps for sous vide cooking.+ The Johnson Controls Digital Thermostat is cheaper than other control units you may find here on Amazon that are sold as ""for sous vide"" (like the Dorkfoods DSV unit in particular).+ Long cords (this can be hit or miss for some but the long cords help in my kitchen).- Not very user friendly, make sure you have the manual handy. While I found the process easy enough, setting the unit to Heat Mode by opening it up and adjusting small delicate pins can be intimidating and confusing for some (I wish this could have been addressed with a simple switch).Overall:While the design does have an annoying flaw, once in Heat Mode you are left with a product that works great and is also cheaper than most other similar devices on the market. A win."
"48","I purchased this to replace a Lux Win100. The temperature sensor was to close to the relay on the Lux and would pick up the relay heat. I was using it  with a 12 amp air conditioner and due to the sensor/relay proximity it would not work for me. The Johnson A419 has an extended temperature sensor and there are no problems when using with the same air conditioner. It is VERY accurate and seems more like an industrial product. I couldn't be happier!!!"
"49","I use this to shut off my Mom's heat tapes on the roof when the temp gets above 35 degrees.  Where the tapes are plugged in is too difficult for my 83 year old Mom to get to."
"50","I bought this to convert a chest freezer into a beverage center for tailgating and outdoor parties (tired of going through tons of ice) and this works great!  Very high quality that I would expect as this is really an industrial unit.  It's fairly easy to mount but doesn't come with any hardware.  The temperature probe is, if anything, too long.  I can't imagine anyone needing it longer."
"51","Works really well with my fermenting chamber. Plug and play. I set it to the max anti-short setting so my freezer doesn't cycle on and off too much. The temperature stays within 2-4 degrees, which is acceptable to me since I would rather have a slight variance than burn the motor out on my freezer."
"52","I have used this device now for almost a year on my Kezzer or converted chest freezer. It was fairly easy to set and to configure. You will need a screw driver and to pay close attention to the instructions ;however, the steps are clear and the use is simple. The temperature probe is durable and the device has worked consistently well for the time t has been in use."
"53","I purchased this controller from Amazon after the temperature controller on my kegerator went bad and stopped turning on the compressor.This unit was extremely easy to set up. It came with a few pages of instructions for adjusting settings. I spent maybe 10 minutes total.I have the controller mounted on the back of my kegerator with double-sided foam tape and in the position the cables were more than long enough.For the price, you're not going to find a better plug-n-play controller (I've looked)."
"54","I purchased this to convert a small chest freezer into a refrigerator.  Very simple to do I just mounted the controller on the wall behind the freezer. Plugged the freezer into the thermostat, plugged the thermostat into the wall socket. Place the temperature probe into the freezer, set the thermostat at 38F and it will prevent the freezer from running long enough to freeze. Simply put this thermostat overrides the freezers thermostat."
"55","I bought a chest freezer and I control the temperature with the Johnson Digital Controller. In the Arizona desert, having a place with a constant temperature to place fermenters is  difficult. This product works great for my needs, it is easy to install and to adjust to the temperature I need the freezer to be at for fermenting various beers or using various varieties or yeast."
"56","As a man, though, it was somewhat of an affront to my masculinity as I was required to actually read the manual to discern what the menu display was telling me. Once I figured it out, it's super easy to make small changes to the temperature when needed. I found that I had to do a little trial and error to get to the temperature I needed for my little modified fermentation fridge. For example, I needed to set the thermostat to 70 degrees in order for temperature to hover around 68. Setting it to 70 meant that the second the probe sensed 70 degrees, the fridge would kick on and the probe would register down to about 66 before the fridge shut off. My fridge is a 1 cubic foot dorm fridge that I converted to a fermentation fridge by removing the door and taping a box made out of 1"" styrofoam insulation the size of my carboy to the front of it. Works amazingly well!!! Obviously, your mileage may vary with your fridge. Happy Brewing!!!"
"57","I live in the desert of Las Vegas, and my biggest problem when brewing is getting proper temperatures for my brews. In the summer, we lower our A/C when we leave the house, so the house heats up along with my wort. The constant change in temperatures has given me off flavors in my ales. And you could forget about lagering.That's where this little beauty came in handy. I bought a used stand-up freezer and can control the temperature of my brews with it. I put my fermenter in the freezer, set it for the proper temperature range of my yeast, and that it's! It's so easy. I am now lagering in the desert, and I never could have without this item.Most homebrewers face issues with temperature, but if you have an extra fridge or freezer (which I'd reccommend over a fridge), this is just the thing.As a bonus, if you have a freezer converted into a keezer, this little device will allow you to maintain proper temperatures. It's also very energy efficient. I give this little bad boy a big thumbs up!"
